Picto Name	Effect	Health	Defense	Speed	Critical Rate	Map and Nearest Flag	How to Get
Auto Powerful	Apply Powerful for 3 turns on battle start					Floating Cemetery	Fight the Chalier.
Survivor	Survive fatal damage with 1 Health. Once per battle.					Monoco's Station	Deliver the Eternal Ice to the Grandis Trader nearby.
Greater Rush	+25% Rush Speed increase BOM					Monoco's Station	The Greater Rush Pictos is purchasable from the Grandis merchant in Monoco's Station for 85,750 Chroma after retrieving the Eternal Ice from the Gargant in Frozen Hearts.
Shielding Death	On death, allies gain 3 Shield points.					The Crows	Beat the Chromatic Chapelier at The Crows (shoot all the crows)
Powerful Shield	10% Increased damage per Shield Point on self.					Endless Night Sanctuary	Purchase from the Merchant.
Powerful Heal	Healing an ally also applies Powerful for 1 turn.					Endless Night Sanctuary	Purchase from the Merchant.
Protecting Attack	Gain Shell for 1 turn on Base Attack					Endless Night Sanctuary	Purchase from the Merchant.
Charging Mark	+20% of a Gradient Charge on hitting a Marked target. Once per turn					Endless Night Sanctuary	Purchase from the Merchant.
Accelerating Tint	Healing Tints also apply Rush					Endless Night Sanctuary	Purchase from the Merchant.
Shell On Rush	Apply Shell on applying Rush					Endless Night Sanctuary	Purchase from the Merchant.
Anti-Freeze	Immune to Freeze					Frozen Hearts	Can be obtained upon destroying the Paint Cage in Glacial Falls past the Manor entrance.
Critical Break	25% increased Break damage on Critical Hits.			?	?	The Continent	You can find the Pictos by destroying a Paint Spike on a beach northeast of The Reacher.
Critical Vulnerability	25% increased Critical Chance on Defenceless enemies.		?	?		The Continent	You can find the Pictos surrounded by Nevrons in an abandoned camp northwest of the Floating Cemetary.
Effective Support	+2 AP on using an item.	?		?		The Continent	You can find Effective Support Pictos surrounded by Nevrons northeast of Sirene.
Energising Burn	+1 AP on applying Burn. Once per turn.		?	?		Frozen Hearts	Energising Burn is obtained as a drop by defeating Chromatic Veilleur found at Frozen Hearts.
Energising Stun	+1 AP on hitting a Stunned target with a Skill.			?	?	Flying Manor	Energising Stun is obtained as a reward for solving a Painted Cage puzzle in the Flying Manor area.
Marking Break	Apply Mark on Break.			?	?	Endless Night Sanctuary	Purchase from the Merchant.
Powerful Mark	Gain Powerful on hitting a Marked enemy.			?	?	Flying Manor	You can find the Powerful Mark Pictos being guarded by two Steel Chevalieres on a platform in the Goblu boss area.
Powerful Shots	20% chance to gain Powerful on Free Aim shot.	?	?			Gestral Village	You can find the Powerful Shots Pictos by breaking a Paint Spike near the Gestral doctor.
Rejuvenating Revive	Apply Regen for 3 turns when revived.	?	?			Stone Wave Cliffs	You can get the Rejuvenating Revive Pictos after breaking a Paint Spike in the Old Farm area.
Shielding Tint	Healing Tints also add 2 Shields.	313	116			The Continent	This can be found on the ground under wooden crates near the Bourgeon southeast of Forgotten Battlefield (requires Esquie flight).
Protecting Shots	20% chance to gain Shell on Free Aim shot.	?	?			Flying Manor	After entering the Flying Manor, go down the first flight of stairs facing the Nevron statue, then turn right and jump off the staircase leading to a cliff. Go down the rope and continue walking to the right. You'll find the Pictos sitting on the edge of a broken picture frame.
Gradient Break				?	?	Endless Night Sanctuary	The Gradient Break Pictos can be found in a tiny alcove in the passage between the two paths past the behind the Grandis Engineer in Endless Night Sanctuary.
Alternating Critical	On Critical hit, 100% increased damage of the next non-Critical hit.			293	50%	Verso's Draft ()	From the Open Playground expedition flag, take the left fork, enter the cave, then follow the right tunnel to its end to obtain the Picto.
AP Discount	Skills cost 1 less AP.			055		Verso's Drafts ()	Can be purchased from Najabla for 217,000 Chromas.
Clea's Death	On death, allies gain 25% increased damage until they die.			726	37%	Endless Tower ()	Obtained as a reward for defeating Clea Unleashed .
Consuming Attack	Base attack consumes up to 100 Burns to deal 10% more damage per Burn consumed.			836		Verso's Draft ()	Available for purchase from Najabla for 130,200 Chromas.
Damage Share	50% damage taken is redirected to other allies (if possible).	612	489			Verso's Draft ()	Near the Lake and Gingerbread Door. From the Gestral Baths area, go right toward the stairs near the lake. Two Licorne enemies guard the path to the Gingerbread Door. Defeat both to receive the Damage Share Picto automatically.
Double Third	Every third hit of a Skill deals double damage.	757		279	16%	Verso’s Drafts ()	Found on the cliff below the first Expedition Flag . Defeat the group of Barbasucette and Machinapieds enemies standing near the cliff edge.
Empowered Healer	Using a Healing Skill gives 50% more damage for 1 turn.	757			32%	Verso's Draft ()	Continue along the same right path past Gradient Parry until you reach a parkour challenge involving narrow platforms. Successfully completing the sequence rewards the Empowered Healer Picto.
Empowering Jumps	Counters deal 100% more damage for each successful Jump Counter this turn.		654			Verso's Draft ()	Seesaw Area (north of the Twisted Woods). Approach the Half-baked Gestral sitting on the seesaw and interact. Jump with him 4 times to complete the playful side quest. Once finished, he rewards you with the Empowering Jumps Picto. The jump timings are triggered when the Gestral hits the see-saw, not when the indicator appears
Feint	Start each turn with 4 Barbapapa stacks. Every 5th hit with a Skill deals 600% more damage.				66%	Verso's Drafts ()	Can be obtained by defeating Monsieur Frappe in Candy Land after successfully parrying his attack three times during the encounter.
First Life	25% increased damage until death. 20% decreased damage on death. (Once)		722			Endless Tower ()	Obtained as a reward for defeating the Chromatic Lampmaster .
Frenzy	On Skill hit, subsequent Skill hits deal 10% more damage.		572	557		Verso's Draft ()	After defeating the Licornapieds boss near the Licornapieds Station expedition flag.
Gradient Overcharge	On turn start, consume 3 Gradient Charges (if able) to deal 200% more damage this turn.	514				Verso's Draft ()	It can be found on a large floating piece of candy near the Candy Land entrance. Reach it by climbing the overhead swing beams in the area.
Gradient Parry	+5% of a gradient charge on Parry.			557	32%	Verso's Draft ()	From the Gestral Baths expedition flag, follow the descending path to an Esquie statue near Hopscotch Tile number 5, where the Picto can be collected from its hand.
Longer Break	Breaks last 1 more turn but the target can't be Broken twice.	757	786	279		Verso’s Drafts ()	Found on the cliff below the first Expedition Flag . Defeat the group of Barbasucette and Machinapieds enemies standing near the cliff edge.
Slowing Attack	Base attack applies Slow for 1 turn.	757		557		Verso's Drafts ()	Explore the Gestral Baths to the right of the entrance area . Past the second pair of Esquie statues playing in the water, you’ll find the Picto on a glowing ledge.
SOS Healing Tint	Consume a Healing Tint when falling below 50% Health.		572			Verso's Draft ()	Defeat the Franctale enemy patrolling the woods to the left of the Gingerbread Door. Upon victory, you’ll receive the SOS Healing Tint Picto.
Trigger-happy	After shooting 10 times in the same turn, gain +2 AP (once). And following Shots this turn deal 200% more damage.			114		Verso's Draft ()	Can be obtained after defeating Half-Baked Gestral
